"lang"
{ 
	"Language" "romanian" 
	"Tokens" 
	{
		"dac_ability_autoattack"												"Auto-atac"
		"dac_ability_bat_rider_3star_Description"									"Napalmul lipicios incendiază inamicii. Vezi abilitatea pentru mai multe informații."

		"dac_ability_nyx_assassin_3star"											"Efect de 3 stele"
		"dac_ability_nyx_assassin_3star_Description"								"Vendeta poate fi invocată mai des. Vezi abilitatea pentru mai multe informații."

		"dac_ability_shadow_demon_3star"											"Efect de 3 stele"
		"dac_ability_shadow_demon_3star_Description"								"Demonul Umbrelor aplică Hoțul de suflete pe ținta Purjării demonice. Vezi abilitatea pentru mai multe informații."

		"dac_ability_tusk_3star"													"Efect de 3 stele"
		"dac_ability_tusk_3star_Description"										"Pumnul morsei încetinește inamicii pentru o durată mai îndelungată și face ca aceștia să piardă atât viteză de atac, cât și viteză de mișcare. Vezi abilitatea pentru mai multe informații."

		"dac_ability_venomancer_3star"												"Efect de 3 stele"
		"dac_ability_venomancer_3star_Description"									"Gărzile toxice sunt imune la daunele magice."

		"dac_ability_weaver_3star"													"Efect de 3 stele"
		"dac_ability_weaver_3star_Description"										"Atacurile Țesătorului ard mana după ce folosește Shukuchi. Vezi abilitatea pentru mai multe informații."

		"dac_ability_bristleback_3star"												"Efect de 3 stele"
		"dac_ability_bristleback_3star_Description"									"Repausul Valului de țepușe este redus semnificativ. Vezi abilitatea pentru mai multe informații."

		"dac_ability_earth_spirit_3star"											"Efect de 3 stele"
		"dac_ability_earth_spirit_3star_Description"								"Strânsoarea geomagnetică năucește inamicii. Vezi abilitatea pentru mai multe informații."

		"dac_ability_natures_prophet_3star"											"Efect de 3 stele"
		"dac_ability_natures_prophet_3star_Description"								"Treants vor fi invocați pe partea adversă a tablei."

		"dac_ability_ogre_magi_3star"												"Efect de 3 stele"
		"dac_ability_ogre_magi_3star_Description"									"Magul Căpcăun are o șansă de a multiinvoca Setea de sânge. Vezi abilitatea pentru mai multe informații."

		"dac_ability_slardar_3star"													"Efect de 3 stele"
		"dac_ability_slardar_3star_Description"										"Slardar izbește ținta după ce invocă Pâcla corozivă. Vezi abilitatea pentru mai multe informații."

		"dac_ability_windrunner_3star"												"Efect de 3 stele"
		"dac_ability_windrunner_3star_Description"									"Pădurașa Vântului primește evitare și imunitate la vrăji în timp ce invocă Săgeata străpungătoare. Vezi abilitatea pentru mai multe informații."

		"dac_ability_witch_doctor_3star"											"Efect de 3 stele"
		"dac_ability_witch_doctor_3star_Description"								"Inamicii loviți de Butoiul paralizant sunt blestemați. Vezi abilitatea pentru mai multe informații."

		"dac_ability_ember_spirit_3star"											"Efect de 3 stele"
		"dac_ability_ember_spirit_3star_Description"								"Zona de efect pentru Pumnii înlănțuiți este mărită. Vezi abilitatea pentru mai multe informații."

		"dac_ability_enigma_3star"													"Efect de 3 stele"
		"dac_ability_enigma_3star_Description"										"Zona de efect a Pulsului de miazănoapte este mărită. Vezi abilitatea pentru mai multe informații."

		"dac_ability_wisp_3star"													"Efect de 3 stele"
		"dac_ability_wisp_3star_Description"										"Relocarea resetează repausurile eroului reînviat."

		"dac_ability_lycan_3star"													"Efect de 3 stele"
		"dac_ability_lycan_3star_Description"										"Transformarea invocă mai mulți lupi. Vezi abilitatea pentru mai multe informații."

		"dac_ability_omniknight_3star"												"Efect de 3 stele"
		"dac_ability_omniknight_3star_Description"									"Zona de efect a Purificării este mărită. Vezi abilitatea pentru mai multe informații."

		"dac_ability_shadow_shaman_3star"											"Efect de 3 stele"
		"dac_ability_shadow_shaman_3star_Description"								"Șamanul Umbrelor deoache unitatea țintită cu Gărzile serpentiforme."

		"dac_ability_treant_protector_3star"										"Efect de 3 stele"
		"dac_ability_treant_protector_3star_Description"							"Unitățile vindecate de Sămânța parazită vor primi, de asemenea, Armura vie. Vezi abilitatea pentru mai multe informații."

		"dac_ability_storm_spirit_3star"											"Efect de 3 stele"
		"dac_ability_storm_spirit_3star_Description"								"Spiritul Furtunii dobândește Suprasarcina. Atunci când invocă o abilitate, Spiritul Furtunii va crea o sarcina electrică care va fi eliberată sub forma unei explozii la următorul său atac, Suprasarcina cauzând {s:damage} de daune și încetinind viteza de ataca a țintei cu {s:attack_speed_loss} timp de {s:slow_duration} secunde. Un atac triunghiular al Spiritului Furtunii este considerat un atac, caz în care, toate unitățile pe care Spiritul Furtunii le lovește în timpul atacului vor încasa daune și vor fi încetinite."
		
		"dac_ability_legion_commander_3star"										"Efect de 3 stele"
		"dac_ability_legion_commander_3star_Description"							"La începutul Duelului, orice inamic din afara Duelului care țintește Comandantul Legiunii va alege alte ținte pentru atacurile sale obișnuite."

		"dac_ability_life_stealer_3star"											"Efect de 3 stele"
		"dac_ability_life_stealer_3star_Description"								"Pungașul Vieții dobândește Mânia. Când folosește abilitatea, Pungașul Vieții devine imun la magie și primește +{s:bonus_movement_speed_pct}% viteză de mișcare și +{S:bonus_attack_speed} viteză de atac. Efectul persistă {s:duration} secunde."

		"dac_ability_snapfire_3star"												"Efect de 3 stele"
		"dac_ability_snapfire_3star_Description"									"Bombicel reduce și armura inamicului. Vezi abilitatea pentru mai multe informații."

		"dac_ability_antimage_3star"												"Efect de 3 stele"
		"dac_ability_antimage_3star_Description"									"Sfărâmarea de mana a Anti-Magului cauzează {s:bonus_damage} de daune suplimentare țintei sale dacă atacul său arde toată mana rămasă."

		"dac_ability_enchantress_3star"												"Efect de 3 stele"
		"dac_ability_enchantress_3star_Description"									"Șișca devine Intangibilă. De fiecare dată când un inamic o atacă, ea are o șansă de {s:chance}% de a încetini viteza de atac a acestuia cu {s:slow} pe durata atacului acestuia."

		"dac_ability_phantom_assassin_3star"										"Efect de 3 stele"
		"dac_ability_phantom_assassin_3star_Description"							"Asasinul Fantomatic primește bonusul nivelului din prezent aferent alianței tâlharilor, dacă există."

		"dac_ability_bounty_hunter_3star"											"Efect de 3 stele"
		"dac_ability_bounty_hunter_3star_Description"								"Vânătorul de Recompense va genera {s:gold} aur atunci când ucide un erou inamic."

		"dac_ability_kunkka_3star"													"Efect de 3 stele"
		"dac_ability_kunkka_3star_Description"										"Kunkka dobândește Lama mareei. La fiecare {s:number} atacuri, Kunkka lovește cu forță și cauzează {s:damage} de daune bonus țintei sale și despică cu {s:cleave_pct}%."

		"dac_ability_alchemist_3star"												"Efect de 3 stele"
		"dac_ability_alchemist_3star_Description"									"La începutul luptei, Alchimistul primește Furia chimică, mărindu-și viteza de atac cu {s:attack_speed} și devenind imun la magie timp de {s:rage_duration} secunde."

		"dac_ability_puck_3star"													"Efect de 3 stele"
		"dac_ability_puck_3star_Description"										"Repausul Globului iluzoriu este redus semnificativ. Vezi abilitatea pentru mai multe informații."

		"dac_ability_slark_3star"													"Efect de 3 stele"
		"dac_ability_slark_3star_Description"										"Slark primește Pactul întunecat. După o întârziere scurtă, Slark își sacrifică o parte din viață, scăpând de efectele negative și rănind inamicii aflați la cel mult {s:radius} celule depărtare cu un total de {s:total_damage} de daune. Slark încasează și el {s:self_harm_pct}% din daune."

		// WILD ALLIANCE BONUSES
		"dac_ability_wild_alliance_crit"								"Lovitură critică"
		"dac_ability_wild_alliance_crit_description"					"PASIV: Lupul are o șansă de {s:crit_chance}% de a cauza o lovitură critică devastatoare de {s:crit_bonus}% unităților inamice."
		
		"dac_ability_wild_alliance_evasion"								"Evitare"
		"dac_ability_wild_alliance_evasion_description"					"PASIV: Ciocul-de-fier primește {s:evasion_pct}% evitare."

		"dac_ability_wild_alliance_splash_attack"								"Atac colateral"
		"dac_ability_wild_alliance_splash_attack_description"					"PASIV: Atacul la distanță al dragonului negru cauzează {s:splash_damage_percent}% daune colaterale unităților aflate la {s:splash_radius} celule distanță față de ținta dragonului."

		"dac_ability_enchantress_wild_alliance_bonus"								"Bonusul alianței șamanilor"
		"dac_ability_enchantress_wild_alliance_bonus_Description"					"De fiecare dată când e atacată, creatura alianței șamanilor are o șansă de {s:chance}% de a încetini viteza de atac a atacatorului cu {s:slow} pe durata atacului acestuia."

		"dac_ability_magnus_wild_alliance_bonus"									"Bonusul alianței șamanilor"
		"dac_ability_magnus_wild_alliance_bonus_Description"						"Ori de câte ori încasează daune de la o unitate de tip meleu aflată la cel mult o celulă distanță, creatura alianței șamanilor are o șansă de {s:chance}% de a împinge atacatorul la o distanță de cel mult {s:length} celule."

		"dac_ability_beastmaster_wild_alliance_bonus"								"Bonusul alianței șamanilor"
		"dac_ability_beastmaster_wild_alliance_bonus_Description"					"După invocare și de fiecare dată când ucide un inamic, creatura alianței șamanilor primește +{s:attack_speed} viteză de atac timp de {s:buff_duration} secunde."

		"dac_ability_treant_protector_wild_alliance_bonus"							"Bonusul alianței șamanilor"
		"dac_ability_treant_protector_wild_alliance_bonus_Description"				"Creatura alianței șamanilor oferă unităților aliate aflate la cel mult {s:radius} celulă distanță +{s:armor} armură și +{s:hp_regen} regenerare de viață."

		"dac_ability_lone_druid_wild_alliance_bonus"								"Bonusul alianței șamanilor"
		"dac_ability_lone_druid_wild_alliance_bonus_Description"					"Druidul Pustnic creează o legătură spirituală cu creatura alianței șamanilor. Ori de câte ori unul dintre ei cauzează daune, amândoi fură viață în valoare de {s:lifesteal_pct}% din daunele cauzate."

		"dac_ability_natures_prophet_wild_alliance_bonus"							"Bonusul alianței șamanilor"
		"dac_ability_natures_prophet_wild_alliance_bonus_Description"				"Creatura alianței șamanilor primește Mânia naturii. Creatura lovește o țintă cu o energie care cauzează {s:damage} de daune. Energia aceasta sare de {s:jumps} ori către alți inamici, mărindu-și daunele cu {s:increase_pct}% per salt."

		"dac_ability_wild_alliance_wrath_of_nature"									"Mânia naturii"
		"dac_ability_wild_alliance_wrath_of_nature_Description"						"Creatura lovește o țintă cu o energie care cauzează {s:damage} de daune. Energia aceasta sare de {s:jumps} ori către alți inamici, mărindu-și daunele cu {s:increase_pct}% per salt."
	}
}
